,AAPL,AMZN,ATT,AUD,EUR,FBNDX,GE,GOLD,INTC,LEHM,SILVER,SPY
1999-12-31,0.917969,3.80625,36.820244,0.6567,1.0062,6.89,396.794861,288.0,41.15625,798.1546313,5.38,146.875
2000-01-03,0.999442,4.46875,35.498489,0.6585,1.0243,6.85,384.615387,289.0,43.5,793.8686699,5.405,145.4375
2000-01-04,0.915179,4.096875,33.421452,0.655,1.0296,6.87,369.230774,282.25,41.46875,796.7616773,5.325,139.75
2000-01-05,0.928571,3.4875,33.940708,0.6579,1.0321,6.84,368.589752,280.0,41.8125,793.1182149,5.145,140.0
2000-01-06,0.848214,3.278125,33.043808,0.6533,1.0328,6.86,373.517639,281.1,39.375,795.091984,5.12,137.75
2000-01-07,0.888393,3.478125,33.327038,0.6549,1.0295,6.87,387.980774,281.75,41.0,797.1321442,5.175,145.75
2000-01-10,0.872768,3.459375,33.799095,0.6561,1.0256,6.86,387.820526,281.48,42.875,795.7857158,5.145,146.25
2000-01-11,0.828125,3.3375,33.327038,0.6578,1.0336,6.83,388.461548,283.25,44.84375,791.97224,5.16,144.5
2000-01-12,0.77846,3.178125,31.580439,0.6587,1.0309,6.82,389.743591,282.35,45.625,790.8372583,5.105,143.0625
2000-01-13,0.863839,3.296875,30.825151,0.6679,1.0258,6.85,394.230774,284.25,45.53125,794.3013796,5.11,145.0
2000-01-14,0.896763,3.2125,31.722054,0.6657,1.0122,6.83,387.179474,284.2,51.53125,792.9178094,5.125,146.96875
2000-01-18,0.928013,3.20625,31.061178,0.6654,1.0137,6.81,379.487183,288.65,51.0625,790.8846556,5.12,145.8125
2000-01-19,0.951451,3.340625,30.63633,0.6638,1.0133,6.82,381.330139,289.63,50.03125,791.843358,5.13,147.0
2000-01-20,1.013393,3.2375,30.966766,0.6658,1.0168,6.81,374.19873,288.5,47.8125,790.642228,5.21,144.75
2000-01-21,0.993862,3.103125,32.477341,0.6629,1.0098,6.82,369.55127,289.1,48.96875,791.22805,5.21,144.4375
2000-01-24,0.948661,3.50625,31.722054,0.6543,1.0072,6.84,354.166656,287.6,49.40625,794.641324,5.24,140.34375
2000-01-25,1.002232,3.4625,30.211479,0.6554,1.0009,6.84,355.128204,287.05,50.78125,794.767914,5.26,141.9375
2000-01-26,0.983817,3.240625,30.211479,0.6523,1.0019,6.85,362.660248,286.0,48.25,795.4197089,5.22,140.8125
2000-01-27,0.982143,3.346875,29.456194,0.6541,0.9882,6.85,363.461548,286.85,49.0625,795.6798044,5.35,140.25
2000-01-28,0.907366,3.084375,29.645016,0.635,0.9747,6.85,343.589752,283.25,47.0,795.9780003,5.26,135.875
2000-01-31,0.926339,3.228125,32.382931,0.637,0.9707,6.84,343.589752,283.5,49.46875,793.2977215,5.245,139.5625
2000-02-01,0.895089,3.371875,32.005287,0.6324,0.9711,6.85,348.717957,282.63,50.71875,794.9323993,5.195,140.9375
2000-02-02,0.882254,3.471875,32.099697,0.6389,0.9765,6.85,343.75,284.75,50.03125,795.2496135,5.18,141.0625
2000-02-03,0.922433,4.209375,31.722054,0.6348,0.9894,6.88,357.05127,287.45,52.09375,798.6774241,5.23,143.1875
2000-02-04,0.964286,3.928125,31.722054,0.638,0.9832,6.86,362.980774,310.3,52.375,796.4561668,5.285,142.59375
2000-02-07,1.018415,3.75,31.627644,0.6337,0.9815,6.83,350.0,302.75,53.96875,793.8348688,5.225,142.375
2000-02-08,1.02567,4.15625,31.76926,0.6317,0.9855,6.86,351.442322,301.75,54.40625,796.3361949,5.275,144.3125
2000-02-09,1.00558,4.0125,32.194111,0.6362,0.9942,6.84,343.75,306.75,52.3125,794.2306009,5.36,141.28125
2000-02-10,1.013393,3.809375,31.816465,0.6265,0.9854,6.82,347.275635,315.0,53.8125,792.3925739,5.36,141.5625
2000-02-11,0.970982,3.809375,30.541918,0.6305,0.9875,6.83,342.94873,310.95,52.9375,793.54871,5.29,138.6875
2000-02-14,1.03404,3.721875,30.872356,0.6263,0.9783,6.86,344.55127,308.15,54.9375,796.8016765,5.235,139.5
2000-02-15,1.0625,3.690625,30.73074,0.6305,0.9815,6.85,352.564117,301.75,56.0,795.7837055,5.225,141.078125
2000-02-16,1.018973,3.534375,29.503399,0.6319,0.9863,6.84,347.836548,302.5,53.59375,794.9851941,5.26,139.0
2000-02-17,1.02567,3.45,30.211479,0.6323,0.9878,6.84,335.89743,300.5,55.0,794.6633205,5.23,138.28125
2000-02-18,0.993304,3.2375,28.889729,0.6293,0.9839,6.86,320.833344,305.0,52.6875,797.2377969,5.245,135.3125
2000-02-22,1.016183,3.178125,27.567976,0.6221,1.0038,6.9,332.371796,304.4,53.375,802.3644651,5.26,134.96875
2000-02-23,1.037946,3.521875,27.001511,0.6216,1.0036,6.88,334.615387,300.0,54.53125,799.6224077,5.225,136.5625
2000-02-24,1.028599,3.421875,26.812689,0.6155,0.992,6.9,335.89743,298.5,57.125,802.1950462,5.145,133.8125
2000-02-25,0.985491,3.45625,26.765484,0.6151,0.9749,6.9,323.39743,292.6,56.625,801.9865647,5.05,133.328125
2000-02-28,1.011161,3.2875,27.94562,0.6148,0.9709,6.87,331.891022,291.75,56.1875,799.4075224,5.06,136.125
2000-02-29,1.023438,3.44375,28.512085,0.6178,0.9642,6.88,339.423065,292.2,56.5,800.6273342,5.07,137.4375
2000-03-01,1.163504,3.29375,31.722054,0.6057,0.9727,6.89,336.858978,289.75,57.9375,801.2661993,5.08,138.4375
2000-03-02,1.089286,3.128125,34.176739,0.6063,0.9656,6.88,346.794861,288.5,57.875,801.3433966,5.03,138.53125
2000-03-03,1.142857,3.125,34.412766,0.6084,0.9586,6.89,357.371796,288.8,59.625,802.8383092,5.11,141.125
2000-03-06,1.12221,3.196875,32.760574,0.6019,0.9586,6.88,352.403839,287.63,58.6875,801.668926,5.06,139.75
2000-03-07,1.097098,3.175,31.627644,0.6051,0.9584,6.89,333.173065,293.25,57.875,802.3452692,5.075,137.046875
2000-03-08,1.089286,3.18125,31.438822,0.6095,0.961,6.88,334.134613,288.13,57.46875,802.0893185,5.09,136.875
2000-03-09,1.091518,3.440625,31.391617,0.6148,0.9669,6.89,330.769226,291.2,59.1875,802.5466552,5.1,140.875
2000-03-10,1.122768,3.34375,31.722054,0.6151,0.9637,6.87,337.660248,289.0,60.09375,800.7028127,5.06,140.125
2000-03-13,1.083147,3.265625,32.996601,0.6163,0.9642,6.87,331.891022,290.7,61.0625,801.3503253,5.07,138.59375
2000-03-14,1.020089,3.28125,31.816465,0.6148,0.9686,6.88,325.641022,288.88,58.9375,802.1117078,5.095,136.625
2000-03-15,1.037946,3.1875,32.099697,0.6135,0.9669,6.89,342.467957,288.85,60.09375,802.7588067,5.12,139.8125
2000-03-16,1.085379,3.3125,34.082325,0.6113,0.9696,6.89,356.410248,286.5,62.53125,803.7668223,5.09,146.34375
2000-03-17,1.116071,3.240625,34.554382,0.6067,0.9721,6.91,358.653839,284.6,64.9375,805.6391915,5.095,146.9375
2000-03-20,1.098214,3.209375,33.563065,0.6077,0.9728,6.91,361.378204,286.88,67.5,805.9719587,5.03,146.1875
2000-03-21,1.204799,3.61875,34.176739,0.6099,0.9615,6.92,385.89743,289.63,69.21875,806.409105,5.115,149.1875
2000-03-22,1.287388,3.534375,32.713367,0.6044,0.961,6.92,386.858978,287.88,72.03125,806.380726,5.12,150.09375
2000-03-23,1.261719,3.384375,32.902191,0.6058,0.9715,6.93,410.256409,286.28,71.3125,807.5013947,5.13,152.65625
2000-03-24,1.238281,3.634375,32.477341,0.6086,0.9779,6.9,407.85257,285.0,69.53125,804.1021163,5.1,153.5625
2000-03-27,1.246094,3.65625,32.618958,0.6128,0.9672,6.89,404.967957,280.3,71.34375,803.7892173,5.085,151.9375
2000-03-28,1.242188,3.50625,32.099697,0.6164,0.9605,6.9,400.0,279.4,67.84375,803.7136984,5.07,151.0625
2000-03-29,1.213728,3.3125,31.910875,0.6105,0.9514,6.89,417.94873,276.4,65.9375,803.7520763,4.95,151.21875
2000-03-30,1.122768,3.325,31.438822,0.6134,0.9613,6.92,407.05127,276.75,63.5,807.0169008,4.95,148.6875
2000-03-31,1.212612,3.35,31.816465,0.6071,0.9555,6.93,399.038452,279.08,65.96875,808.5444306,5.01,150.375
2000-04-03,1.19029,3.178125,33.799095,0.6086,0.9553,6.94,412.820526,278.2,65.3125,810.0051044,5.03,151.25
2000-04-04,1.136719,3.196875,34.743202,0.6047,0.9596,6.97,394.871796,284.45,66.375,814.9560535,5.14,150.125
2000-04-05,1.164063,3.109375,34.979229,0.6061,0.9625,6.96,393.108978,281.5,64.9375,813.5890652,5.155,149.1875
2000-04-06,1.117746,3.2125,35.203457,0.6014,0.9584,6.95,402.243591,280.5,64.90625,812.5353832,5.115,150.484375
2000-04-07,1.176339,3.378125,35.026436,0.5986,0.9553,6.97,407.211548,280.0,68.40625,814.4686839,5.085,151.4375
2000-04-10,1.116071,3.16875,34.932022,0.5953,0.9627,6.98,408.814117,282.0,65.5625,815.9558505,5.13,150.84375
2000-04-11,1.066406,3.16875,35.687309,0.5958,0.9592,6.95,414.423065,281.8,65.375,812.6462505,5.135,150.40625
2000-04-12,0.975446,2.81875,35.498489,0.5981,0.959,6.93,401.923065,282.05,60.9375,810.11473,5.115,146.28125
2000-04-13,1.016183,2.4,35.498489,0.5983,0.9524,6.94,385.89743,281.6,60.5625,811.8766437,5.15,144.25
2000-04-14,0.998884,2.34375,32.194111,0.5976,0.9622,6.95,373.717957,282.6,55.25,813.3443219,5.11,136.0
2000-04-17,1.106027,2.353125,31.627644,0.5909,0.9527,6.93,389.743591,281.38,61.5,810.3116276,5.105,140.75
2000-04-18,1.132813,2.746875,31.344412,0.5948,0.9453,6.92,401.282043,281.3,64.5,809.6857184,5.11,144.46875
2000-04-19,1.081473,2.671875,31.674849,0.5957,0.9402,6.93,398.717957,280.7,59.53125,811.9770029,5.1,143.125
2000-04-20,1.061384,2.61875,31.108383,0.5924,0.9374,6.93,406.410248,280.0,57.6875,812.1559147,4.97,143.8125
2000-04-24,1.075893,2.490625,31.910875,0.5946,0.938,6.93,415.544861,279.8,58.0625,811.9465631,4.935,142.25
2000-04-25,1.145647,2.621875,33.940708,0.5935,0.9208,6.9,425.641022,278.4,62.5,808.0830404,5.005,148.15625
2000-04-26,1.083147,2.675,33.232628,0.5882,0.9235,6.89,418.589752,275.88,60.40625,807.3820826,4.94,146.484375
2000-04-27,1.131696,2.64375,32.666164,0.5872,0.9099,6.86,414.10257,277.05,62.65625,803.6149049,4.95,146.0
2000-04-28,1.107701,2.759375,33.091011,0.5839,0.9119,6.86,403.205139,273.55,63.40625,804.0692133,4.97,145.09375
2000-05-01,1.109933,2.996875,33.704681,0.5827,0.9158,6.85,408.653839,273.35,63.5625,803.4258399,5.02,147.0625
2000-05-02,1.052455,2.80625,32.005287,0.5845,0.91,6.84,412.980774,274.95,60.59375,801.8460729,5.025,144.125
2000-05-03,1.027344,2.70625,31.674849,0.5923,0.8948,6.81,400.160248,278.25,59.53125,798.2236225,5.015,140.75
2000-05-04,0.988281,2.753125,31.013973,0.5912,0.8895,6.78,394.871796,279.95,59.78125,794.583264,5.1,141.8125
2000-05-05,1.010045,2.925,32.477341,0.5965,0.897,6.76,405.128204,278.95,61.6875,792.2394153,4.995,143.53125
2000-05-08,0.983259,2.800781,32.382931,0.5813,0.8977,6.74,403.365387,276.73,58.8125,790.5864169,5.01,142.453125
2000-05-09,0.941406,2.8125,31.958082,0.5856,0.9075,6.75,400.961548,277.25,58.46875,791.9779021,5.025,141.3125
2000-05-10,0.886719,2.665625,34.082325,0.5807,0.9068,6.77,389.423065,277.75,53.03125,793.8037791,5.035,138.125
2000-05-11,0.917969,2.74375,34.412766,0.581,0.9016,6.77,391.826935,275.95,57.78125,794.2303992,5.0,141.28125
2000-05-12,0.960938,2.6875,33.869904,0.5811,0.9197,6.75,401.923065,276.15,57.5,790.6597385,5.0,142.8125
2000-05-15,0.901786,2.803125,34.743202,0.5713,0.9112,6.76,415.384613,275.45,59.0625,792.3904991,4.995,145.28125
2000-05-16,0.943638,2.953125,34.507175,0.5767,0.9003,6.77,417.307678,275.65,60.9375,794.2341174,5.085,146.6875
2000-05-17,0.905134,3.05,34.223942,0.5688,0.8959,6.76,412.5,273.35,61.59375,793.0735265,4.98,145.15625
2000-05-18,0.899554,2.76875,33.421452,0.5714,0.8946,6.73,408.653839,273.35,61.96875,790.2416279,5.0,143.375
2000-05-19,0.839286,2.63125,32.241314,0.5742,0.8975,6.75,399.038452,274.25,58.9375,791.6786791,5.0,141.125
2000-05-22,0.803013,2.59375,32.099697,0.5716,0.9031,6.77,384.615387,275.65,59.1875,794.9375205,4.975,140.0625
2000-05-23,0.766183,2.334375,31.580439,0.5745,0.9071,6.76,384.615387,274.25,54.9375,794.4382348,5.005,138.0
2000-05-24,0.782924,2.428125,32.571751,0.571,0.9044,6.76,390.384613,273.55,58.6875,794.2316784,4.985,140.25
2000-05-25,0.779157,2.275,31.76926,0.5685,0.9115,6.78,390.384613,270.3,57.59375,797.5170444,4.91,137.84375
2000-05-26,0.771205,2.325,32.194111,0.5736,0.9309,6.8,381.25,272.25,58.78125,799.7729231,4.925,138.0
2000-05-30,0.781808,2.5875,33.421452,0.5752,0.9301,6.79,394.230774,273.2,62.875,798.1598611,4.935,142.5
2000-05-31,0.75,2.415625,32.996601,0.5725,0.938,6.81,404.807678,272.1,62.34375,801.2073957,4.92,142.8125
2000-06-01,0.795759,2.509375,33.232628,0.5721,0.9312,6.84,402.884613,272.8,64.84375,805.2821618,4.895,145.3125
2000-06-02,0.826451,2.89375,33.987915,0.5798,0.9463,6.87,405.769226,281.15,67.09375,808.6673091,4.935,147.84375
2000-06-05,0.81529,2.725,33.468655,0.582,0.9479,6.88,396.634613,285.45,66.28125,811.2971228,5.025,147.125
2000-06-06,0.829241,2.528125,34.223942,0.5887,0.9548,6.88,393.75,289.0,64.78125,811.2014309,5.075,146.46875
2000-06-07,0.862165,2.590625,35.026436,0.5937,0.9622,6.88,395.192322,286.7,64.46875,811.0963231,5.07,147.484375
2000-06-08,0.84654,2.59375,35.498489,0.5887,0.956,6.88,391.346161,284.45,63.09375,810.8592713,5.06,146.90625
2000-06-09,0.854911,2.609375,36.348186,0.5881,0.9536,6.88,383.653839,283.85,63.53125,810.603422,5.03,146.59375
2000-06-12,0.814174,2.421875,35.356873,0.5918,0.9538,6.89,383.653839,286.8,62.53125,812.3075848,5.01,144.875
2000-06-13,0.84375,2.45,36.253777,0.5963,0.9596,6.89,393.75,285.75,65.75,812.211737,5.0,147.59375
2000-06-14,0.807478,2.321875,37.764351,0.5995,0.9579,6.91,392.307678,291.75,63.21875,814.4144301,5.06,147.84375
2000-06-15,0.824777,2.315625,36.773037,0.6028,0.9547,6.91,399.038452,289.85,64.125,814.0733888,5.065,148.15625
2000-06-16,0.814174,2.3,35.687309,0.6063,0.965,6.94,393.269226,289.25,63.03125,816.9061402,5.055,146.59375
2000-06-19,0.862723,2.265625,35.876133,0.6011,0.9567,6.93,386.538452,286.25,68.25,816.1034163,5.02,148.46875
2000-06-20,0.904018,2.30625,35.640106,0.6028,0.9548,6.92,392.307678,286.15,69.15625,814.9807966,5.01,147.9375
2000-06-21,0.993304,2.303125,36.348186,0.6023,0.9442,6.9,380.288452,286.15,69.5,811.7969087,4.96,147.875
2000-06-22,0.959821,2.1,37.103474,0.5966,0.9355,6.89,375.0,285.65,67.03125,810.7316549,4.965,145.625
2000-06-23,0.922991,1.69375,36.678623,0.5946,0.9359,6.87,383.653839,283.15,67.1875,808.7067741,4.955,144.375
2000-06-26,0.966518,1.696875,35.781723,0.5971,0.9369,6.89,384.134613,284.0,67.09375,811.5471966,4.97,146.234375
2000-06-27,0.924107,1.825,35.168053,0.6015,0.9459,6.9,378.846161,286.05,65.6875,812.0817817,4.955,145.15625
2000-06-28,0.972098,1.89375,33.928909,0.6022,0.9401,6.89,388.822113,292.65,66.1875,811.3462664,4.98,145.5625
2000-06-29,0.915179,1.85625,34.412766,0.6008,0.952,6.92,382.692322,289.25,65.875,814.3919878,5.0,144.1875
2000-06-30,0.935268,1.815625,33.232628,0.5974,0.9525,6.92,407.692322,289.53,66.84375,815.3396837,5.03,145.28125
2000-07-03,0.952009,1.85,35.168053,0.5983,0.9502,6.93,400.0,288.35,68.4375,817.1991798,5.0,147.28125
2000-07-05,0.921875,1.825,34.554382,0.5895,0.9525,6.94,384.134613,284.25,65.8125,818.4846369,4.98,144.625
2000-07-06,0.925223,1.803125,32.949394,0.59,0.9507,6.92,386.057678,283.65,68.3125,816.5360204,4.995,145.75
2000-07-07,0.972098,1.80625,33.751888,0.5919,0.9484,6.94,394.711548,283.65,69.65625,818.5636924,4.975,148.09375
2000-07-10,1.020089,1.753125,33.846298,0.5927,0.9553,6.94,403.365387,283.95,68.90625,818.1755872,4.985,147.84375
2000-07-11,1.016741,1.65625,33.515862,0.5877,0.9527,6.94,401.923065,282.55,69.40625,818.0130863,4.955,148.15625
2000-07-12,1.051339,1.753125,33.940708,0.5888,0.9424,6.92,413.461548,280.6,70.59375,817.5311861,4.965,149.125
2000-07-13,1.008929,1.75,34.554382,0.5848,0.9372,6.95,403.846161,280.25,71.59375,820.487478,4.97,149.78125
2000-07-14,1.030134,2.13125,34.271149,0.5844,0.9385,6.92,396.153839,281.3,73.34375,816.8495145,5.0,151.25
2000-07-17,1.041295,2.05625,32.689766,0.5878,0.9366,6.9,412.980774,283.6,73.15625,814.743293,5.01,151.0
2000-07-18,1.022321,2.0875,32.854984,0.5814,0.9248,6.9,401.923065,282.65,71.5,814.6376478,5.015,149.765625
2000-07-19,0.940848,2.04375,32.949394,0.5766,0.9246,6.89,405.769226,279.15,69.0625,814.3536379,4.97,148.5625
2000-07-20,0.984375,2.015625,32.571751,0.5838,0.9331,6.94,417.788452,280.25,71.34375,820.2745057,4.98,150.625
2000-07-21,0.956473,2.05625,32.477341,0.5856,0.9369,6.95,416.346161,280.35,69.09375,820.8156879,4.925,147.6875
2000-07-24,0.86942,1.9375,32.618958,0.5856,0.9337,6.94,415.384613,279.25,69.0,819.742591,4.94,146.84375
2000-07-25,0.893973,1.88125,33.232628,0.5854,0.9385,6.94,412.019226,279.05,70.4375,820.1992155,4.925,147.3125
2000-07-26,0.893973,1.803125,32.571751,0.5911,0.9428,6.94,400.961548,279.75,69.5,820.0834104,4.945,145.875
2000-07-27,0.928571,1.56875,32.335724,0.5883,0.9317,6.95,403.846161,278.5,68.5,821.2527344,4.96,145.375
2000-07-28,0.862723,1.5,32.099697,0.588,0.923,6.94,391.826935,278.38,64.5625,820.1144628,4.95,142.09375
2000-07-31,0.907366,1.50625,32.146904,0.5808,0.9266,6.94,397.596161,277.25,66.75,820.4206678,4.99,143.0
2000-08-01,0.88058,1.5125,32.996601,0.5796,0.9147,6.95,405.769226,277.35,64.625,821.8144339,4.985,143.875
2000-08-02,0.84375,1.540625,33.468655,0.5842,0.9136,6.96,400.0,277.55,63.3125,822.6640348,4.98,144.59375
2000-08-03,0.857143,1.575,33.232628,0.5858,0.9061,6.96,406.730774,273.95,65.0625,823.6821072,4.955,145.59375
2000-08-04,0.845982,1.625,33.185425,0.5866,0.9083,6.98,410.576935,273.5,62.5625,825.7308443,4.92,146.375
2000-08-07,0.856027,1.690625,33.515862,0.587,0.9071,6.97,404.807678,273.75,62.9375,824.9020532,4.93,148.125
2000-08-08,0.834821,1.646875,32.099697,0.5836,0.9022,6.98,413.461548,273.25,61.625,826.4721472,4.9,148.6875
2000-08-09,0.848214,1.54375,31.486027,0.5793,0.9006,6.99,430.288452,272.25,63.5625,826.9363016,4.885,147.4375
2000-08-10,0.84933,1.521875,31.958082,0.5828,0.9083,7.0,438.461548,272.75,62.0,828.7117095,4.89,146.71875
2000-08-11,0.851563,1.684375,32.146904,0.5783,0.9026,6.99,435.096161,275.15,63.8125,826.6278788,4.915,147.40625
2000-08-14,0.840402,1.74375,31.627644,0.5827,0.9056,6.99,438.461548,274.8,66.9375,827.4007939,4.87,149.28125
2000-08-15,0.833705,1.878125,31.722054,0.5827,0.9135,6.98,440.384613,274.65,67.875,826.5630069,4.86,149.15625
2000-08-16,0.866071,1.93125,31.202795,0.5914,0.9161,6.98,437.019226,277.2,68.0625,825.659907,4.85,148.625
2000-08-17,0.918527,1.9125,29.833838,0.5927,0.9162,6.98,436.057678,277.65,70.0625,826.0207184,4.86,150.1875
2000-08-18,0.892857,1.95,29.692221,0.5908,0.9064,6.99,432.211548,276.65,70.5625,827.0271973,4.835,149.6875
2000-08-21,0.901786,1.875,30.258686,0.5878,0.9017,6.98,435.096161,275.25,72.0625,826.6577649,4.85,150.5
2000-08-22,0.922991,1.825,29.928247,0.5797,0.8964,6.99,432.692322,273.75,72.125,827.1305121,4.83,150.25
2000-08-23,0.969866,1.940625,30.353098,0.5718,0.9017,7.0,445.673065,271.25,74.625,829.1280155,4.78,150.84375
2000-08-24,1.001953,1.96875,30.589125,0.5728,0.9021,7.01,453.365387,272.95,74.25,829.6844328,4.84,151.3125
2000-08-25,1.014509,1.996875,31.108383,0.5743,0.9021,7.0,455.769226,274.25,72.9375,829.5485832,4.865,151.25
2000-08-28,1.03683,1.95625,31.816465,0.5724,0.9002,6.99,461.538452,274.15,73.875,828.1409799,4.915,151.765625
2000-08-29,1.05692,1.98125,31.958082,0.5698,0.8921,6.98,460.576935,273.45,74.0625,826.6776577,4.93,151.796875
2000-08-30,1.0625,2.146875,31.816465,0.5765,0.894,6.98,442.307678,274.2,73.5,826.8320487,4.91,150.34375
2000-08-31,1.08817,2.075,31.545034,0.5764,0.8878,7.0,450.961548,277.85,74.875,829.6129795,4.97,152.34375
2000-09-01,1.132813,2.075,32.430138,0.5765,0.8997,7.02,450.0,276.75,73.9375,831.4678535,4.96,152.5
2000-09-05,1.114955,2.284375,32.618958,0.5692,0.8903,7.02,444.711548,275.55,69.25,832.3877181,4.95,151.28125
2000-09-06,1.043527,2.29375,32.382931,0.5635,0.8702,7.0,453.846161,274.45,65.703125,830.7939393,4.93,149.5625
2000-09-07,1.107143,2.175,32.288521,0.5595,0.8713,6.99,453.846161,273.8,67.4375,829.5742761,4.91,150.84375
2000-09-08,1.051339,2.146875,34.035122,0.556,0.8672,7.0,460.576935,273.05,65.375,830.2604504,4.9,149.8125
2000-09-11,1.043527,2.11875,34.695995,0.561,0.8577,6.99,459.134613,273.43,64.6875,829.3773926,4.865,149.59375
2000-09-12,1.03125,2.134375,34.459969,0.5581,0.864,6.98,454.326935,273.0,64.9375,829.2042631,4.885,148.5
2000-09-13,1.035714,2.121875,34.271149,0.5538,0.8594,7.0,454.326935,272.75,61.25,831.0292362,4.87,148.890625
2000-09-14,1.015346,2.24375,33.893505,0.5502,0.8644,6.98,453.846161,272.55,59.625,829.1755066,4.88,149.640625
2000-09-15,0.986328,2.18125,33.421452,0.5443,0.8543,6.97,436.538452,272.45,57.515625,828.3023686,4.86,146.0
2000-09-18,1.083147,2.140625,33.799095,0.5416,0.8537,6.97,442.307678,271.8,55.8125,828.1854194,4.86,144.65625
2000-09-19,1.070313,2.0375,34.365559,0.5453,0.8509,6.97,438.461548,272.15,60.375,828.3950893,4.87,145.96875
2000-09-20,1.090123,1.875,33.563065,0.5389,0.8493,6.96,435.576935,269.35,63.0625,827.1771648,4.83,144.890625
2000-09-21,1.012277,2.003125,35.262463,0.5455,0.8599,6.97,432.692322,270.65,61.484375,828.4223896,4.865,142.6875
2000-09-22,0.93192,2.071875,36.20657,0.5443,0.8766,6.98,440.865387,272.15,47.9375,829.6112809,4.89,145.28125
2000-09-25,0.955357,2.01875,36.63142,0.5484,0.8745,6.98,446.634613,274.3,45.375,830.128331,4.9,144.25
2000-09-26,0.918527,1.9875,36.489803,0.5495,0.8828,6.99,446.153839,274.35,43.3125,831.5870354,4.91,142.40625
2000-09-27,0.873884,1.89375,35.828926,0.5505,0.8834,6.99,457.211548,278.58,43.875,830.9288534,4.94,143.15625
2000-09-28,0.955357,2.0,37.528324,0.5438,0.8791,7.0,453.846161,275.25,44.4375,831.352226,4.93,145.0
2000-09-29,0.459821,1.921875,37.669941,0.5428,0.8828,7.01,444.711548,274.25,41.5625,832.4745353,4.87,143.625
2000-10-02,0.433036,1.79375,37.811558,0.5461,0.8773,7.0,450.0,273.45,40.125,831.8723749,4.88,143.84375
2000-10-03,0.398438,1.753125,37.717144,0.5406,0.8757,6.99,454.326935,272.25,40.3125,830.7578594,4.89,142.5
2000-10-04,0.421875,1.8,39.086102,0.5375,0.8746,6.98,452.884613,270.75,42.0,829.7833973,4.86,143.6875
2000-10-05,0.393973,1.678125,40.455059,0.5298,0.8691,6.99,459.615387,269.65,41.0,830.7748082,4.87,144.1875
2000-10-06,0.396205,1.578125,40.266239,0.5338,0.8684,6.99,457.211548,269.65,39.9375,831.6727787,4.87,141.0625
2000-10-10,0.372768,1.521875,38.472431,0.5343,0.8716,7.0,446.634613,272.75,37.5625,832.2445213,4.895,137.6875
2000-10-11,0.350446,1.390625,37.103474,0.5329,0.8683,7.0,435.576935,271.15,35.375,832.7509035,4.86,136.53125
2000-10-12,0.357143,1.25625,37.669941,0.5306,0.863,7.01,419.230774,276.55,37.125,834.4302426,4.905,133.125
2000-10-13,0.393973,1.421875,37.858761,0.5285,0.856,7.01,438.461548,272.65,40.375,834.2286459,4.865,137.5625
2000-10-16,0.383929,1.215625,38.330814,0.5224,0.8498,7.0,444.230774,272.0,35.6875,833.7385472,4.86,138.1875
2000-10-17,0.359375,1.096875,39.605362,0.521,0.8543,7.02,427.884613,271.25,36.1875,835.919537,4.84,134.75
2000-10-18,0.359375,1.25625,39.794186,0.5215,0.8389,7.01,426.923065,270.65,38.1875,835.7084604,4.84,134.25
2000-10-19,0.33817,1.3875,39.322128,0.5215,0.8436,7.02,427.884613,270.8,41.9375,836.7720579,4.83,139.3125
2000-10-20,0.348214,1.540625,38.330814,0.5291,0.8421,7.03,400.961548,271.55,43.0625,838.0772049,4.83,139.90625
2000-10-23,0.363839,1.5,40.87991,0.5262,0.8354,7.04,382.692322,270.25,43.3125,840.3120917,4.785,140.53125
2000-10-24,0.337054,1.478125,40.69109,0.5242,0.8359,7.04,410.576935,270.65,42.0,839.4215521,4.79,139.59375
2000-10-25,0.330357,1.59375,41.39917,0.5202,0.8272,7.02,407.211548,266.75,41.3125,837.5362945,4.76,136.3125
2000-10-26,0.330357,1.84375,41.115936,0.5217,0.8303,7.02,400.961548,265.15,44.6875,837.4738254,4.73,136.6875
2000-10-27,0.331473,1.78125,42.532101,0.5235,0.8393,7.0,401.923065,264.55,46.375,836.4910535,4.75,139.28125
2000-10-30,0.344866,1.64375,43.901058,0.5224,0.8411,7.0,415.384613,264.5,45.0,836.3636534,4.74,140.53125
2000-10-31,0.34933,1.83125,43.570618,0.5185,0.8489,6.99,421.634613,265.15,45.0,835.5020961,4.74,142.953125
2000-11-01,0.366071,1.86875,42.343277,0.5251,0.8612,7.0,418.75,264.8,44.875,836.8336918,4.76,142.46875
2000-11-02,0.398438,1.9875,42.296074,0.5214,0.8584,7.01,412.980774,264.75,46.6875,837.2915645,4.71,142.703125
2000-11-03,0.397321,1.878125,43.192978,0.5263,0.8666,6.99,410.096161,265.15,45.9375,834.3493572,4.74,142.78125
2000-11-06,0.382813,1.828125,42.720921,0.5275,0.8625,6.98,419.230774,265.05,46.5625,833.4977923,4.75,143.78125
2000-11-07,0.38058,1.846875,43.098564,0.5288,0.86,6.98,422.596161,264.45,46.1875,833.5286985,4.72,143.75
2000-11-08,0.358259,1.69375,43.334591,0.5268,0.8555,6.98,419.711548,265.05,42.6875,833.9309995,4.73,140.5625
2000-11-09,0.360491,1.5625,43.523415,0.5274,0.8666,6.99,419.711548,265.95,41.375,835.4472733,4.74,140.03125
